Ciudad,Año,Insecticida,Método,Ubicación,Número
Huaquillas,2017,Delta,Volumen bajo,Barrio,4
Huaquillas,2016,Malathion,Volumen bajo,Barrio,10
Huaquillas,2016,Desconocido,Mochila,Casa,7866
Huaquillas,2017,Desconocido,Mochila,Casa,7892
Huaquillas,2018,Desconocido,Mochila,Casa,7916
Machala,2016,Delta,Mochila,Barrio,433
Machala,2017,Delta y Cyper,Mochila,Barrio,143
Machala,2018,Delta,Mano,Barrio,38
Machala,2016,Delta,Fumigación,Barrio,48
Machala,2017,Delta,Fumigación,Barrio,2
Machala,2018,Delta,Fumigación,Barrio,2
Machala,2016,Delta y Cyper,Mano,Barrio,41
Machala,2017,Cyper,Mano,Barrio,57
Machala,2018,Delta y Cyper,Mano,Barrio,38
Machala,2016,Malathion,Volumen bajo,Barrio,88
Machala,2017,Malathion,Volumen bajo,Barrio,83
Machala,2018,Malathion,Volumen bajo,Barrio,2
Portovelo,2016,Delta,Fumigación,Casa,1772
Portovelo,2017,Delta,Fumigación,Casa,961
Portovelo,2018,Delta,Fumigación,Casa,841
Portovelo,2016,Malathion,Volumen bajo,Casa,1
Portovelo,2017,Malathion,Volumen bajo,Casa,0
Portovelo,2018,Malathion,Volumen bajo,Casa,0
